"","user_id","order_item_id","item_id","item_size","item_color","brand_id","item_price","user_title","user_dob","user_state","return","delivery_duration","user_maturity","month_of_delivery","price_and_age","avg_return","nr_obs","order_month","order_day","order_year","del_year","del_month","del_day","reg_year","reg_month","reg_day"
"user_id",1,0.001,0.431,0.001,0.005,0.063,0.048,0.063,0.075,-0.005,-0.008,0.115,-0.253,-0.095,0.048,0.007,-0.311,-0.112,0.02,0.398,0.048,-0.095,-0.017,0.465,0.093,-0.005
"order_item_id",0.001,1,-0.003,-0.005,0,0,-0.003,0.002,0.001,-0.004,-0.008,0.001,-0.005,0,-0.002,-0.009,-0.005,-0.001,0.001,-0.002,-0.001,0,0.002,0.003,0.002,-0.004
"item_id",0.431,-0.003,1,0.062,0.012,0.168,0.18,0.023,0.013,-0.003,0.008,0.24,0.144,-0.229,0.18,0.008,-0.063,-0.263,-0.015,0.685,0.129,-0.229,-0.012,0.23,-0.012,-0.012
"item_size",0.001,-0.005,0.062,1,0.201,0.238,-0.26,0.009,0.008,0.001,-0.122,0.026,0.015,0.043,-0.26,-0.09,0.036,0.042,-0.002,-0.013,-0.011,0.043,0,-0.012,0.01,0.002
"item_color",0.005,0,0.012,0.201,1,-0.013,-0.137,0,0.001,0.002,-0.088,0.025,0,0.013,-0.137,-0.062,0.001,0.009,0.001,0.001,-0.005,0.013,0.002,0.003,0.005,0.001
"brand_id",0.063,0,0.168,0.238,-0.013,1,0.05,0.015,0.044,-0.002,0.016,-0.025,0.016,0.074,0.05,0.007,-0.016,0.093,0,0.006,-0.004,0.074,0.008,0.011,0.039,0.001
"item_price",0.048,-0.003,0.18,-0.26,-0.137,0.05,1,0.029,0.025,0.003,0.156,0.044,0.012,0.094,1,0.122,-0.083,0.081,-0.012,-0.009,-0.009,0.094,0.015,0.007,0.019,0.002
"user_title",0.063,0.002,0.023,0.009,0,0.015,0.029,1,0,-0.007,-0.026,-0.004,-0.07,0.014,0.029,-0.035,-0.042,0.006,-0.001,-0.002,-0.05,0.014,0.009,0.06,0.037,-0.01
"user_dob",0.075,0.001,0.013,0.008,0.001,0.044,0.025,0,1,-0.061,0.053,0,-0.088,0.021,0.032,0.076,0.015,0.01,0.01,-0.001,-0.05,0.021,0.016,0.071,0.062,0.004
"user_state",-0.005,-0.004,-0.003,0.001,0.002,-0.002,0.003,-0.007,-0.061,1,-0.028,-0.013,0.001,0.01,0.003,-0.041,-0.005,0.01,0.001,-0.011,-0.024,0.01,-0.002,-0.005,0,0.01
"return",-0.008,-0.008,0.008,-0.122,-0.088,0.016,0.156,-0.026,0.053,-0.028,1,-0.009,0.025,-0.034,0.157,0.703,0.05,-0.028,-0.004,0.022,0.044,-0.034,-0.006,-0.013,-0.025,-0.001
"delivery_duration",0.115,0.001,0.24,0.026,0.025,-0.025,0.044,-0.004,0,-0.013,-0.009,1,0.011,0.021,0.044,0,-0.028,-0.12,-0.007,0.187,0.09,0.021,-0.035,0.074,-0.007,-0.009
"user_maturity",-0.253,-0.005,0.144,0.015,0,0.016,0.012,-0.07,-0.088,0.001,0.025,0.011,1,-0.053,0.011,0.022,0.211,-0.035,0.01,0.116,0.049,-0.053,-0.006,-0.827,-0.392,0.024
"month_of_delivery",-0.095,0,-0.229,0.043,0.013,0.074,0.094,0.014,0.021,0.01,-0.034,0.021,-0.053,1,0.094,-0.04,0.012,0.839,0,-0.705,-0.344,1,0.048,-0.173,0.196,0.025
"price_and_age",0.048,-0.002,0.18,-0.26,-0.137,0.05,1,0.029,0.032,0.003,0.157,0.044,0.011,0.094,1,0.122,-0.083,0.081,-0.012,-0.009,-0.009,0.094,0.015,0.007,0.019,0.002
"avg_return",0.007,-0.009,0.008,-0.09,-0.062,0.007,0.122,-0.035,0.076,-0.041,0.703,0,0.022,-0.04,0.122,1,0.028,-0.034,-0.003,0.026,0.064,-0.04,-0.011,-0.006,-0.033,-0.001
"nr_obs",-0.311,-0.005,-0.063,0.036,0.001,-0.016,-0.083,-0.042,0.015,-0.005,0.05,-0.028,0.211,0.012,-0.083,0.028,1,0.019,0.007,-0.055,-0.01,0.012,0.008,-0.218,-0.086,-0.015
"order_month",-0.112,-0.001,-0.263,0.042,0.009,0.093,0.081,0.006,0.01,0.01,-0.028,-0.12,-0.035,0.839,0.081,-0.034,0.019,1,0.024,-0.797,-0.149,0.839,-0.029,-0.208,0.241,0.03
"order_day",0.02,0.001,-0.015,-0.002,0.001,0,-0.012,-0.001,0.01,0.001,-0.004,-0.007,0.01,0,-0.012,-0.003,0.007,0.024,1,-0.049,-0.01,0,0.328,-0.012,0.008,0.295
"order_year",0.398,-0.002,0.685,-0.013,0.001,0.006,-0.009,-0.002,-0.001,-0.011,0.022,0.187,0.116,-0.705,-0.009,0.026,-0.055,-0.797,-0.049,1,0.189,-0.705,-0.025,0.315,-0.151,-0.038
"del_year",0.048,-0.001,0.129,-0.011,-0.005,-0.004,-0.009,-0.05,-0.05,-0.024,0.044,0.09,0.049,-0.344,-0.009,0.064,-0.01,-0.149,-0.01,0.189,1,-0.344,-0.195,0.03,-0.025,-0.007
"del_month",-0.095,0,-0.229,0.043,0.013,0.074,0.094,0.014,0.021,0.01,-0.034,0.021,-0.053,1,0.094,-0.04,0.012,0.839,0,-0.705,-0.344,1,0.048,-0.173,0.196,0.025
"del_day",-0.017,0.002,-0.012,0,0.002,0.008,0.015,0.009,0.016,-0.002,-0.006,-0.035,-0.006,0.048,0.015,-0.011,0.008,-0.029,0.328,-0.025,-0.195,0.048,1,-0.015,0.003,0.077
"reg_year",0.465,0.003,0.23,-0.012,0.003,0.011,0.007,0.06,0.071,-0.005,-0.013,0.074,-0.827,-0.173,0.007,-0.006,-0.218,-0.208,-0.012,0.315,0.03,-0.173,-0.015,1,0.011,-0.047
"reg_month",0.093,0.002,-0.012,0.01,0.005,0.039,0.019,0.037,0.062,0,-0.025,-0.007,-0.392,0.196,0.019,-0.033,-0.086,0.241,0.008,-0.151,-0.025,0.196,0.003,0.011,1,-0.03
"reg_day",-0.005,-0.004,-0.012,0.002,0.001,0.001,0.002,-0.01,0.004,0.01,-0.001,-0.009,0.024,0.025,0.002,-0.001,-0.015,0.03,0.295,-0.038,-0.007,0.025,0.077,-0.047,-0.03,1
